Nutrient,Age_Group,Male,Female,Pregnant,Lactating,Unit,Source,Source_Links,Footnotes,Nutrient_Notes
PABA,70+ years,85.0,85.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,7–12 months,25.0,25.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,9–13 years,70.0,70.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
PABA,Birth to 6 months,15.0,15.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Pantothenic Acid,14–18 years,5,5,6,7,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,19+ years,5,5,6,7,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,1–3 years,2,2,,,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,4–8 years,3,3,,,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,7–12 months,1.8,1.8,,,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,9–13 years,4,4,,,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Pantothenic Acid,Birth to 6 months,1.7,1.7,,,mg,ODS Pantothenic Acid Factsheet,https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,*AI,
Phenylalanine,14–18 years,1575,1350,1485.0000000000002,1620.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,19–50 years,1750,1425,1567.5000000000002,1710.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,1–3 years,300,300,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,4–8 years,500,500,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,51+ years,1750,1425,1567.5000000000002,1710.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,7–12 months,225,225,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,9–13 years,1000,1000,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phenylalanine,Birth to 6 months,150,150,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Phosphorus,14–18 years,1250,1250,1250,1250,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
Phosphorus,19+ years,700,700,700,700,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
Phosphorus,1–3 years,460,460,,,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
Phosphorus,4–8 years,500,500,,,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
Phosphorus,7–12 months,275,275,,,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,*AI,
Phosphorus,9–13 years,1250,1250,,,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
Phosphorus,Birth to 6 months,100,100,,,mg,ODS Phosphorus Factsheet,https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,*AI,
Phytosterols,14–18 years,1700.0,1700.0,1870.0,2040.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,19+ years,2000,2000,2000,2000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Cholesterol-lowering studies,
Phytosterols,19–30 years,2000.0,2000.0,2200.0,2400.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,1–3 years,700.0,700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,31–50 years,2000.0,2000.0,2200.0,2400.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,4–8 years,1000.0,1000.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,51–70 years,1800.0,1800.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,70+ years,1700.0,1700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,7–12 months,500.0,500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,9–13 years,1400.0,1400.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Phytosterols,Birth to 6 months,300.0,300.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,14–18 years,850.0,850.0,935.0,1020.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,19+ years,1000,1000,1000,1000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Optimal dietary intake,
Polyphenols,19–30 years,1000.0,1000.0,1100.0,1200.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,1–3 years,350.0,350.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,31–50 years,1000.0,1000.0,1100.0,1200.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,4–8 years,500.0,500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,51–70 years,900.0,900.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,70+ years,850.0,850.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,7–12 months,250.0,250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,9–13 years,700.0,700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Polyphenols,Birth to 6 months,150.0,150.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Potassium,14–18 years,3000,2300,2600,2500,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,19–50 years,3400,2600,2900,2800,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,1–3 years,2000,2000,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,4–8 years,2300,2300,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,51+ years,3400,2600,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,7–12 months,860,860,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,*AI,
Potassium,9–13 years,2500,2300,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
Potassium,Birth to 6 months,400,400,,,mg,ODS Potassium Factsheet,https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,*AI,
Proline,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Quercetin,14–18 years,170.0,170.0,187.0,204.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,19+ years,200,200,200,200,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Antioxidant studies,
Quercetin,19–30 years,200.0,200.0,220.0,240.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,1–3 years,70.0,70.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,31–50 years,200.0,200.0,220.0,240.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,4–8 years,100.0,100.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,51–70 years,180.0,180.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,70+ years,170.0,170.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,7–12 months,50.0,50.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,9–13 years,140.0,140.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Quercetin,Birth to 6 months,30.0,30.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,14–18 years,10.2,10.2,11.2,12.2,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,19+ years,12,12,12,12,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Cardiovascular studies,
Resveratrol,19–30 years,12.0,12.0,13.2,14.4,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,1–3 years,4.2,4.2,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,31–50 years,12.0,12.0,13.2,14.4,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,4–8 years,6.0,6.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,51–70 years,10.8,10.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,70+ years,10.2,10.2,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,7–12 months,3.0,3.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,9–13 years,8.4,8.4,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Resveratrol,Birth to 6 months,1.8,1.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Riboflavin,14–18 years,1.3,1.0,1.4,1.6,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,19–50 years,1.3,1.1,1.4,1.6,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,1–3 years,0.5,0.5,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,4–8 years,0.6,0.6,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,51+ years,1.3,1.1,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,7–12 months,0.4,0.4,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,*AI,
Riboflavin,9–13 years,0.9,0.9,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,,
Riboflavin,Birth to 6 months,0.3,0.3,,,mg,ODS Riboflavin Factsheet,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/,*AI,
Saccharomyces boulardii,14–18 years,4.2×10^9,4.2×10^9,4.7×10^9,5.1×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,19+ years,5×10^9,5×10^9,5×10^9,5×10^9,CFU,Research-based,Multiple peer-reviewed studies and clinical trials,Therapeutic dose,
Saccharomyces boulardii,19–30 years,5.0×10^9,5.0×10^9,5.5×10^9,6.0×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,1–3 years,1.8×10^9,1.8×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,31–50 years,5.0×10^9,5.0×10^9,5.5×10^9,6.0×10^9,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,4–8 years,2.5×10^9,2.5×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,51–70 years,4.5×10^9,4.5×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,70+ years,4.2×10^9,4.2×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,7–12 months,1.2×10^9,1.2×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,9–13 years,3.5×10^9,3.5×10^9,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saccharomyces boulardii,Birth to 6 months,750.0×10^6,750.0×10^6,,,CFU,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan. CFU values adjusted for age
Saponins,14–18 years,42.5,42.5,46.8,51.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,19+ years,50,50,50,50,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Legume consumption,
Saponins,19–30 years,50.0,50.0,55.0,60.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,1–3 years,17.5,17.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,31–50 years,50.0,50.0,55.0,60.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,4–8 years,25.0,25.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,51–70 years,45.0,45.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,70+ years,42.5,42.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,7–12 months,12.5,12.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,9–13 years,35.0,35.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Saponins,Birth to 6 months,7.5,7.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Selenium,14–18 years,55,55,60,70,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,19–50 years,55,55,60,70,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,1–3 years,20,20,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,4–8 years,30,30,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,51+ years,55,55,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,7–12 months,20,20,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,*AI,
Selenium,9–13 years,40,40,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,
Selenium,Birth to 6 months,15,15,,,mcg,ODS Selenium Factsheet,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,*AI,
Serine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Silicon,19+ years,5,5,5,5,mg,Research estimate,,Estimated from dietary intake,
Sodium,14–18 years,1500,1500,1500,1500,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,19–50 years,1500,1500,1500,1500,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,1–3 years,1000,1000,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,4–8 years,1200,1200,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,51–70 years,1300,1300,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,70+ years,1200,1200,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,7–12 months,370,370,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,9–13 years,1500,1500,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Sodium,Birth to 6 months,120,120,,,mg,ODS Sodium Factsheet,https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/,*AI,
Spirulina,14–18 years,2550.0,2550.0,2805.0,3060.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,19+ years,3000,3000,3000,3000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Whole food supplement,
Spirulina,19–30 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,1–3 years,1050.0,1050.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,31–50 years,3000.0,3000.0,3300.0,3600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,4–8 years,1500.0,1500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,51–70 years,2700.0,2700.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,70+ years,2550.0,2550.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,7–12 months,750.0,750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,9–13 years,2100.0,2100.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Spirulina,Birth to 6 months,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Sulfur,19+ years,850,850,850,850,mg,Research estimate,,From amino acids methionine and cysteine,
Tannins,14–18 years,127.5,127.5,140.2,153.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,19+ years,150,150,150,150,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Tea and fruit intake,
Tannins,19–30 years,150.0,150.0,165.0,180.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,1–3 years,52.5,52.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,31–50 years,150.0,150.0,165.0,180.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,4–8 years,75.0,75.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,51–70 years,135.0,135.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,70+ years,127.5,127.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,7–12 months,37.5,37.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,9–13 years,105.0,105.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Tannins,Birth to 6 months,22.5,22.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Thiamin,14–18 years,1.2,1.0,1.4,1.4,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,19–50 years,1.2,1.1,1.4,1.4,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,1–3 years,0.5,0.5,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,4–8 years,0.6,0.6,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,51+ years,1.2,1.1,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,7–12 months,0.3,0.3,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,*AI,
Thiamin,9–13 years,0.9,0.9,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,,
Thiamin,Birth to 6 months,0.2,0.2,,,mg,ODS Thiamin Factsheet,https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/,*AI,
Threonine,14–18 years,945,810,891.0000000000001,972.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,19–50 years,1050,855,940.5000000000001,1026.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
